Date,City,Temperature_C,Humidity_%,Rainfall_mm,WindSpeed_kmh
2024-02-26,Karachi,34.8,49.0,0.1,7.8
2024-09-23,Karachi,16.0,37.6,0.0,19.5
2024-07-04,Karachi,29.2,56.5,0.0,11.1
21/06/2024,Peshawar,22.5,42.9,0.0,20.1
07/06/2024,Karachi,33.1,59.3,0.0,16.1
11/08/2024,Karachi,24.7,55.2,0.6,11.4
18/05/2024,Islamabad,27.0,30.4,0.0,19.2
2024-11-04,Islamabad,13.4,38.0,0.0,8.9
04/03/2024,Multan,36.8,45.6,1.2,13.7
2024-04-11,Peshawar,33.5,85.1,0.0,5.4
2024-05-18,Lahore,31.3,74.1,5.3,12.2
04/10/2024,Karachi,15.6,43.4,0.0,13.8
30/05/2024,Peshawar,29.7,52.1,0.0,17.0
08/09/2024,Karachi,17.8,77.2,0.0,9.6
02/09/2024,Karachi,19.0,,0.0,10.7
15/03/2024,Lahore,32.3,50.4,0.0,8.5
27/04/2024,Karachi,,,0.0,14.3
22/09/2024,Lahore,13.7,60.6,0.0,14.8
08/07/2024,Multan,26.5,30.0,0.0,5.5
2024-06-21,Multan,31.2,62.1,0.0,3.0
30/09/2024,Karachi,18.5,46.5,0.0,17.6
2024-01-31,Karachi,31.1,56.7,0.0,8.2
2024-07-24,Islamabad,21.2,66.2,0.0,11.3
07/01/2024,Islamabad,,77.9,0.0,14.4
2024-10-18,Lahore,13.0,68.2,0.0,17.2
2024-11-28,Lahore,20.0,37.2,0.0,20.0
2024-06-29,Peshawar,24.8,53.7,3.9,10.7
2024-01-28,Multan,,55.0,0.0,16.2
19/08/2024,Islamabad,16.1,55.9,0.0,14.1
2024-06-02,Peshawar,30.5,59.9,0.0,21.1
18/06/2024,Peshawar,26.9,34.4,0.7,11.2
22/08/2024,Islamabad,15.9,45.7,0.0,9.0
13/02/2024,Karachi,34.0,76.7,0.0,20.6
2024-05-25,Islamabad,26.5,48.2,0.0,16.7
10/06/2024,Multan,31.4,50.4,0.0,9.9
07/05/2024,Peshawar,31.1,59.1,0.0,12.6
2024-09-22,Islamabad,11.9,67.3,0.0,3.8
2024-12-16,Multan,23.8,23.4,0.0,16.1
2024-02-12,Multan,34.5,41.6,0.0,7.3
2024-11-25,Multan,21.3,61.5,0.0,21.4
2024-08-22,Karachi,22.1,74.0,0.0,15.4
05/08/2024,Lahore,18.8,58.9,0.0,20.1
2024-11-09,Peshawar,14.8,55.6,0.0,18.4
25/12/2024,Islamabad,17.9,72.6,0.0,11.5
17/03/2024,Lahore,32.8,42.4,0.0,9.1
02/11/2024,Multan,21.5,65.0,0.0,13.5
28/02/2024,Karachi,34.8,30.0,0.0,17.8
2024-07-30,Multan,21.4,75.6,0.0,12.9
27/10/2024,Multan,19.1,44.1,0.0,7.5
18/05/2024,Multan,34.0,81.2,0.0,9.4
21/07/2024,Karachi,23.6,57.9,0.0,15.6
26/10/2024,Multan,19.4,42.5,0.0,-15.6
18/11/2024,Lahore,18.6,54.2,0.0,12.2
2024-08-15,Islamabad,15.6,60.0,3.3,12.7
08/05/2024,Multan,31.5,38.4,0.4,8.9
2024-04-13,Peshawar,30.6,40.3,0.0,8.1
10/04/2024,Lahore,37.4,27.4,0.0,
19/02/2024,Multan,33.3,40.6,0.0,21.0
26/05/2024,Multan,35.0,62.9,0.0,13.7
23/10/2024,Karachi,19.5,55.3,0.0,8.5
10/10/2024,Lahore,13.1,34.8,0.0,13.9
2024-11-16,Multan,19.6,65.5,0.0,13.9
06/05/2024,Islamabad,27.6,32.9,0.0,11.1
2024-12-10,Peshawar,17.5,53.1,0.0,10.0
29/01/2024,Karachi,34.5,63.2,0.0,10.9
2024-10-23,Multan,16.5,37.0,0.0,13.8
20/03/2024,Islamabad,32.3,,0.0,4.3
22/10/2024,Multan,16.0,,0.0,20.9
25/09/2024,Karachi,19.4,44.0,0.0,10.4
10/06/2024,Lahore,22.7,49.3,0.0,14.5
2024-03-06,Karachi,41.4,52.1,1.9,5.3
2024-07-11,Multan,28.5,54.4,0.0,8.0
2024-09-19,Peshawar,10.6,64.6,0.0,4.8
19/04/2024,Islamabad,30.0,79.5,1.8,14.9
2024-07-04,Multan,26.1,82.8,0.0,7.5
2024-12-20,Peshawar,23.5,57.0,1.6,16.1
21/04/2024,Islamabad,31.1,53.7,0.0,7.7
11/06/2024,Lahore,29.5,65.8,0.0,10.3
28/06/2024,Islamabad,23.5,,0.0,13.7
19/06/2024,Islamabad,21.7,36.0,0.0,9.9
2024-12-27,Multan,24.6,59.9,0.0,8.4
2024-05-31,Lahore,29.9,56.0,0.0,11.0
08/04/2024,Multan,38.6,27.6,1.8,9.2
2024-02-10,Islamabad,29.9,54.2,0.0,-17.5
21/03/2024,Lahore,36.0,96.4,0.0,14.3
03/04/2024,Karachi,37.4,46.8,0.0,6.3
17/02/2024,Karachi,35.1,58.1,0.0,8.9
2024-12-09,Peshawar,22.2,,0.0,3.0
18/09/2024,Lahore,13.8,73.5,0.0,14.6
13/09/2024,Lahore,17.8,40.4,0.0,4.7
2024-10-25,Lahore,16.9,59.1,0.0,9.4
2024-02-04,Karachi,34.5,68.1,0.0,5.0
02/10/2024,Karachi,19.2,61.0,0.0,6.3
03/04/2024,Multan,37.3,59.0,0.0,9.3
08/03/2024,Karachi,37.5,38.1,0.0,24.7
10/03/2024,Lahore,34.5,50.3,0.0,7.8
2024-02-14,Karachi,37.7,82.3,0.0,13.8
2024-03-05,Multan,37.5,33.2,0.0,-10.1
2024-05-02,Peshawar,31.6,66.1,0.0,13.0
26/08/2024,Peshawar,16.6,50.6,0.0,10.5
2024-09-11,Peshawar,15.9,43.0,0.0,12.4
06/03/2024,Lahore,32.8,68.2,0.0,12.1
2024-07-07,Peshawar,22.3,60.1,0.0,6.1
2024-08-17,Peshawar,14.8,69.7,0.0,12.5
2024-01-27,Islamabad,29.1,35.7,0.0,14.0
21/09/2024,Islamabad,12.4,40.8,0.0,9.7
2024-05-03,Peshawar,34.0,36.9,0.0,8.1
2024-12-30,Peshawar,23.1,50.4,0.0,9.1
17/03/2024,Islamabad,,51.6,4.0,9.0
27/02/2024,Peshawar,34.8,64.3,0.0,19.1
2024-01-30,Karachi,33.1,34.8,0.3,1.1
2024-02-12,Multan,34.5,41.6,0.0,7.3
20/09/2024,Islamabad,13.7,69.5,0.0,4.1
2024-05-23,Multan,34.0,68.9,3.4,12.6
2024-09-27,Lahore,15.6,46.9,0.0,12.7
2024-02-02,Lahore,30.3,54.6,0.0,22.1
20/08/2024,Multan,20.8,60.5,0.0,11.7
2024-11-01,Peshawar,13.2,72.2,0.0,16.4
2024-05-24,Lahore,30.1,69.1,0.0,-22.0
2024-12-09,Multan,21.6,41.7,0.8,15.0
2024-05-25,Karachi,32.3,32.7,0.0,11.7
20/03/2024,Peshawar,35.6,,0.0,14.3
05/06/2024,Lahore,28.4,52.1,0.0,20.1
07/04/2024,Multan,39.9,60.4,4.1,8.5
2024-06-08,Peshawar,28.8,53.6,0.0,23.7
16/04/2024,Karachi,35.7,55.1,0.0,18.6
11/01/2024,Lahore,28.7,52.6,0.0,13.6
2024-11-16,Islamabad,15.6,59.0,0.0,12.3
21/08/2024,Karachi,22.9,39.2,0.0,13.9
2024-12-27,Lahore,30.4,51.3,0.6,19.7
10/10/2024,Islamabad,12.6,62.0,0.0,1.8
2024-07-23,Lahore,24.5,90.1,0.0,19.1
2024-12-29,Peshawar,23.8,53.4,0.0,16.2
10/05/2024,Lahore,32.2,63.2,0.0,11.5
10/01/2024,Peshawar,23.5,,0.0,3.2
2024-01-12,Peshawar,22.6,69.9,0.0,11.4
15/11/2024,Islamabad,10.2,37.7,0.0,6.9
04/10/2024,Islamabad,10.4,51.4,0.0,11.9
2024-02-22,Karachi,36.2,52.1,1.4,13.5
26/06/2024,Peshawar,19.4,39.2,0.0,15.5
18/06/2024,Multan,27.3,91.5,0.0,9.0
2024-04-25,Lahore,32.6,46.9,0.0,12.0
14/07/2024,Karachi,,32.6,0.0,12.9
14/05/2024,Lahore,28.4,65.7,0.0,11.7
2024-07-17,Peshawar,16.2,49.9,0.0,10.1
2024-05-12,Multan,37.1,73.1,0.0,11.5
2024-04-01,Multan,,64.0,0.0,7.5
2024-08-07,Lahore,11.7,34.1,0.0,8.9
17/07/2024,Multan,,76.5,1.8,12.6
24/03/2024,Islamabad,31.1,51.6,0.0,9.5
2024-07-31,Peshawar,18.5,65.5,0.0,12.7
17/07/2024,Lahore,22.2,61.3,0.0,9.8
2024-06-02,Lahore,29.2,65.0,0.0,11.0
2024-10-13,Lahore,15.2,49.2,0.0,9.7
2024-08-28,Peshawar,15.2,47.1,0.0,-0.7
11/01/2024,Multan,30.5,29.9,0.0,13.9
04/04/2024,Karachi,36.5,64.5,0.0,7.6
06/03/2024,Multan,35.8,41.2,1.6,9.3
2024-11-27,Islamabad,15.8,59.8,1.0,18.8
2024-02-16,Lahore,31.1,65.3,0.0,17.1
04/03/2024,Islamabad,33.0,72.8,0.0,6.0
14/05/2024,Islamabad,28.8,28.5,0.9,25.1
17/03/2024,Karachi,34.9,75.8,0.0,7.6
2024-02-25,Peshawar,31.6,80.9,0.0,10.5
2024-04-07,Karachi,35.7,73.2,0.0,6.3
30/03/2024,Lahore,36.2,62.3,5.2,13.3
28/09/2024,Islamabad,13.9,32.3,0.0,11.1
2024-12-06,Islamabad,14.7,68.9,0.2,12.6
2024-07-05,Multan,26.0,72.9,0.0,20.0
2024-07-08,Islamabad,19.6,61.4,3.1,19.7
2024-09-18,Islamabad,13.3,53.7,0.0,7.4
04/09/2024,Multan,21.4,62.3,0.0,8.3
2024-10-29,Islamabad,14.3,41.9,0.0,16.3
14/11/2024,Lahore,16.2,64.7,0.0,18.7
2024-02-14,Multan,34.0,49.5,0.0,8.7
23/06/2024,Multan,32.3,34.3,0.0,13.4
11/08/2024,Multan,19.3,81.5,0.0,21.4
23/01/2024,Lahore,31.8,54.7,0.0,1.3
10/09/2024,Multan,15.3,62.7,0.0,17.0
2024-08-31,Karachi,20.7,65.4,0.0,10.7
10/12/2024,Multan,24.6,70.8,0.0,15.7
2024-03-01,Lahore,31.5,55.4,0.0,13.0
2024-10-25,Multan,19.5,38.2,0.0,16.8
30/01/2024,Multan,,46.7,0.0,8.6
2024-02-23,Multan,36.0,85.5,0.0,10.1
09/04/2024,Islamabad,30.6,45.7,0.0,7.4
17/09/2024,Peshawar,13.6,61.5,0.0,14.9
2024-10-15,Lahore,14.4,33.8,2.2,12.7
26/06/2024,Karachi,29.2,50.3,0.0,9.3
2024-05-03,Lahore,32.7,91.9,0.0,8.1
2024-08-21,Islamabad,16.3,,0.0,6.8
2024-08-03,Karachi,24.9,45.7,0.0,9.3
2024-06-28,Multan,27.1,52.9,0.0,7.5
2024-09-14,Peshawar,16.1,50.6,2.8,6.0
04/11/2024,Lahore,16.8,85.9,0.0,11.5
10/09/2024,Islamabad,,68.0,0.0,5.9
2024-11-29,Islamabad,18.3,86.9,0.0,6.0
20/10/2024,Lahore,17.2,66.1,0.0,11.7
26/02/2024,Islamabad,27.0,61.5,0.0,19.3
2024-07-25,Peshawar,17.4,45.9,0.0,3.1
17/04/2024,Multan,34.2,23.3,1.3,22.4
2024-09-09,Multan,17.0,74.0,0.0,0.2
05/05/2024,Lahore,32.3,22.0,0.0,17.1
2024-09-16,Multan,17.9,74.7,0.0,9.4
2024-07-30,Peshawar,20.5,84.8,0.0,12.9
19/12/2024,Islamabad,17.8,66.6,0.0,11.9
2024-06-17,Multan,28.1,47.1,0.0,10.7
14/10/2024,Islamabad,13.9,55.3,0.0,5.3
10/08/2024,Peshawar,16.4,77.9,4.5,14.2
04/05/2024,Peshawar,31.9,48.6,0.2,14.3
26/05/2024,Islamabad,27.0,56.6,0.0,2.3
2024-02-25,Karachi,38.2,51.8,0.0,6.8
22/04/2024,Karachi,44.4,57.6,1.6,10.1
03/06/2024,Lahore,,46.4,0.0,16.4
08/10/2024,Multan,18.3,54.3,0.0,12.5
2024-01-15,Lahore,26.8,38.5,0.0,17.1
2024-09-11,Islamabad,9.3,68.0,0.0,5.5
03/07/2024,Islamabad,21.4,70.6,0.0,12.4
13/06/2024,Islamabad,20.2,49.7,0.0,4.5
2024-01-21,Karachi,31.4,65.4,3.4,8.8
06/12/2024,Lahore,,75.1,0.0,15.9
2024-07-12,Multan,26.2,54.5,4.7,13.0
2024-06-22,Peshawar,,49.6,0.0,16.4
2024-06-13,Lahore,29.7,56.8,0.0,20.0
25/03/2024,Peshawar,33.5,43.2,0.0,20.0
05/02/2024,Karachi,31.1,38.5,0.0,-14.2
24/02/2024,Multan,34.9,72.9,1.8,11.0
09/09/2024,Islamabad,11.8,60.9,0.0,12.2
2024-05-02,Islamabad,31.2,54.1,0.0,16.3
2024-07-10,Peshawar,19.5,68.9,1.3,15.9
2024-07-26,Multan,20.4,64.1,2.9,2.4
2024-03-13,Peshawar,31.9,49.1,0.0,9.0
2024-02-23,Peshawar,28.9,66.4,0.8,8.8
23/09/2024,Islamabad,13.0,54.4,0.0,12.8
08/02/2024,Peshawar,28.7,80.6,0.0,8.2
02/06/2024,Multan,34.3,44.2,0.0,11.7
2024-11-22,Peshawar,17.8,42.0,0.0,21.0
29/08/2024,Karachi,19.8,41.0,0.8,18.1
2024-12-16,Islamabad,22.9,79.6,0.0,15.3
05/08/2024,Karachi,23.2,66.9,0.0,10.6
12/07/2024,Peshawar,22.4,38.0,0.1,18.4
2024-03-16,Islamabad,32.3,54.0,0.0,8.4
2024-09-07,Peshawar,11.8,54.7,1.2,12.3
17/06/2024,Karachi,32.0,65.8,3.2,14.7
03/06/2024,Islamabad,,54.7,0.0,2.4
14/04/2024,Islamabad,25.5,,0.0,17.2
19/10/2024,Multan,14.6,57.9,0.0,10.2
2024-07-18,Lahore,25.6,66.5,0.0,16.5
2024-11-06,Islamabad,12.4,63.9,0.0,0.1
12/03/2024,Karachi,38.1,54.6,1.0,15.6
2024-04-07,Peshawar,32.7,41.6,2.0,5.8
2024-01-05,Lahore,,49.8,0.0,9.9
14/07/2024,Peshawar,21.6,72.8,1.2,14.4
2024-12-12,Karachi,26.1,33.3,0.0,10.0
17/10/2024,Lahore,14.9,41.3,0.0,10.6
2024-10-05,Karachi,17.1,49.1,0.0,9.4
08/02/2024,Multan,32.2,72.8,0.0,16.2
2024-12-18,Islamabad,19.5,58.1,0.0,12.1
06/02/2024,Lahore,32.8,56.7,0.0,5.6
2024-03-31,Multan,36.1,45.4,0.0,14.7
2024-11-28,Multan,26.8,66.6,0.0,7.4
11/03/2024,Islamabad,33.3,44.9,0.0,7.5
2024-08-26,Islamabad,12.9,30.8,0.0,21.7
2024-01-06,Islamabad,20.3,43.3,0.0,9.9
2024-02-19,Karachi,39.8,41.5,0.0,18.4
11/02/2024,Multan,33.8,75.1,0.0,9.1
08/11/2024,Lahore,18.3,54.6,0.0,12.5
12/03/2024,Multan,37.3,38.3,0.0,12.1
29/12/2024,Islamabad,21.9,28.2,0.0,11.9
09/08/2024,Peshawar,17.5,85.0,0.0,7.5
2024-08-02,Karachi,24.1,22.6,0.0,11.1
2024-01-15,Multan,31.9,78.6,0.0,7.8
15/05/2024,Islamabad,27.9,36.3,0.0,15.0
23/04/2024,Peshawar,31.3,65.1,0.0,7.8
17/04/2024,Peshawar,30.2,60.9,0.0,5.2
24/02/2024,Lahore,30.3,53.8,0.0,11.8
2024-12-10,Islamabad,17.1,66.8,0.0,4.0
19/10/2024,Peshawar,15.1,65.6,0.0,18.7
2024-02-24,Islamabad,26.7,50.1,1.6,14.5
12/04/2024,Islamabad,32.7,69.0,1.1,9.2
2024-02-03,Multan,33.1,47.4,0.0,10.2
08/05/2024,Peshawar,32.7,64.9,0.3,14.7
25/05/2024,Lahore,29.5,39.6,0.0,7.8
11/08/2024,Peshawar,21.1,38.6,0.0,19.6
2024-08-15,Karachi,20.4,78.8,0.2,18.9
2024-12-30,Multan,29.4,72.0,0.5,15.2
05/03/2024,Karachi,36.1,34.2,0.0,9.0
31/01/2024,Multan,33.6,71.7,0.0,9.7
2024-12-05,Karachi,,69.7,0.0,7.4
26/07/2024,Lahore,23.2,78.8,0.0,5.9
13/04/2024,Karachi,35.9,61.1,3.1,18.2
30/11/2024,Karachi,25.8,83.3,0.0,19.3
2024-12-05,Islamabad,19.0,27.7,0.0,13.0
10/07/2024,Islamabad,21.0,30.5,0.0,12.2
2024-03-28,Karachi,38.4,68.2,0.0,19.1
19/05/2024,Peshawar,23.3,48.1,0.0,15.0
24/09/2024,Lahore,16.5,42.9,6.0,17.0
05/11/2024,Multan,20.4,33.9,2.9,7.3
10/01/2024,Lahore,19.8,44.3,3.2,14.7
20/06/2024,Peshawar,25.2,70.8,0.7,1.9
12/06/2024,Peshawar,,70.4,0.0,7.1
2024-09-29,Peshawar,12.7,70.8,0.0,15.2
2024-11-26,Islamabad,15.1,91.4,0.0,7.2
13/03/2024,Lahore,37.7,38.2,3.0,7.4
07/07/2024,Multan,22.3,66.3,0.0,15.5
2024-10-11,Karachi,18.9,71.6,0.0,17.0
2024-01-09,Karachi,29.5,61.9,0.0,14.7
23/01/2024,Multan,28.4,58.2,0.3,12.9
2024-03-06,Islamabad,31.0,51.3,0.0,9.7
06/06/2024,Lahore,30.9,51.3,0.0,9.2
2024-02-13,Multan,29.7,51.9,0.0,19.0
2024-07-18,Peshawar,24.0,46.2,2.1,17.4
2024-02-16,Peshawar,29.6,38.3,0.0,6.9
2024-06-06,Multan,29.6,62.7,0.0,6.8
05/09/2024,Karachi,22.4,75.0,0.0,8.9
15/05/2024,Multan,32.1,52.3,0.0,12.9
05/10/2024,Islamabad,,75.1,0.0,9.5
2024-05-29,Lahore,27.5,62.7,0.0,13.9
2024-10-07,Multan,19.7,54.1,0.0,14.4
2024-01-03,Multan,24.6,76.8,0.0,11.0
03/07/2024,Multan,22.5,41.7,0.0,5.3
09/08/2024,Islamabad,13.8,58.1,0.0,-4.5
03/05/2024,Islamabad,30.2,71.2,0.0,9.3
2024-07-06,Lahore,23.2,,0.0,11.1
2024-12-24,Islamabad,19.2,66.3,0.0,12.4
2024-10-23,Islamabad,11.7,65.5,0.5,11.8
2024-09-26,Peshawar,15.6,53.4,0.0,13.0
24/11/2024,Lahore,16.8,61.8,0.0,16.5
2024-05-07,Karachi,38.7,75.3,0.0,13.1
21/12/2024,Karachi,28.1,80.3,0.0,12.6
24/12/2024,Peshawar,25.5,64.0,0.0,5.1
10/07/2024,Multan,29.0,54.1,0.6,11.8
15/05/2024,Peshawar,32.4,54.7,0.0,20.3
08/06/2024,Lahore,25.0,74.3,0.0,20.1
27/03/2024,Lahore,35.1,49.6,0.0,23.6
30/08/2024,Islamabad,9.9,33.1,0.0,27.7
2024-08-14,Multan,20.5,28.9,0.2,20.5
2024-05-04,Karachi,36.5,51.7,0.0,5.8
24/04/2024,Karachi,37.0,69.6,0.0,13.9
01/05/2024,Lahore,33.9,82.5,0.0,15.3
2024-04-28,Karachi,35.1,60.1,0.0,14.8
2024-07-29,Multan,24.0,68.9,0.0,15.3
2024-06-19,Karachi,29.6,34.8,0.0,12.2
2024-11-19,Lahore,17.9,49.8,0.0,9.9
2024-05-27,Multan,32.9,50.3,0.0,13.0
2024-05-29,Peshawar,27.9,47.4,0.0,8.6
2024-04-28,Multan,37.1,41.7,0.0,6.4
16/08/2024,Islamabad,17.0,75.0,0.0,12.4
2024-01-29,Islamabad,27.2,51.4,0.0,10.3
03/04/2024,Lahore,32.2,39.1,0.0,8.2
25/07/2024,Multan,22.3,60.7,0.0,4.1
2024-05-31,Multan,28.9,65.3,0.0,14.0
2024-01-16,Peshawar,26.0,55.1,1.6,13.3
2024-09-15,Multan,17.2,50.5,0.1,17.2
04/11/2024,Karachi,20.0,,0.0,5.1
31/03/2024,Islamabad,32.4,56.0,1.0,9.3
23/03/2024,Peshawar,33.0,72.6,0.0,15.0
12/02/2024,Peshawar,29.5,45.1,0.0,
2024-03-23,Islamabad,28.0,47.7,0.0,14.5
23/08/2024,Karachi,20.4,78.5,0.0,11.2
2024-06-27,Karachi,,64.9,0.0,17.7
2024-10-17,Islamabad,11.5,57.4,0.0,14.5
12/04/2024,Lahore,32.0,50.0,0.0,-10.0
2024-03-02,Karachi,37.2,57.6,0.0,7.2
2024-08-10,Lahore,20.3,43.5,0.0,5.5
06/05/2024,Multan,31.6,46.3,0.0,7.1
2024-12-18,Multan,25.7,57.7,1.1,15.9
03/08/2024,Multan,21.0,45.3,0.0,12.1
12/06/2024,Islamabad,25.6,54.1,0.0,6.7
04/07/2024,Lahore,22.6,38.4,3.4,15.8
2024-05-20,Peshawar,29.8,61.5,0.0,13.2
31/03/2024,Peshawar,30.5,39.3,0.2,13.8
2024-06-09,Karachi,30.8,71.9,0.0,16.7
2024-11-09,Multan,23.1,58.8,0.0,8.0
2024-03-27,Karachi,36.1,46.1,0.0,17.8
2024-06-01,Islamabad,24.9,78.8,0.0,-1.9
15/02/2024,Peshawar,30.4,85.6,0.0,-1.7
20/01/2024,Islamabad,,58.1,0.0,20.3
04/11/2024,Multan,17.6,49.4,0.0,-1.1
2024-01-22,Islamabad,27.4,62.1,0.6,11.1
10/01/2024,Karachi,29.0,43.7,0.0,12.8
2024-07-01,Karachi,29.1,50.7,0.0,17.3
13/08/2024,Multan,19.3,89.5,0.0,13.6
2024-03-26,Multan,39.1,56.1,0.0,-2.5
05/11/2024,Lahore,15.7,77.8,0.0,15.8
2024-11-07,Islamabad,14.5,66.9,0.0,6.8
05/10/2024,Lahore,13.2,51.9,2.3,10.4
05/06/2024,Karachi,36.8,71.4,0.8,8.3
29/05/2024,Islamabad,24.7,59.5,0.0,11.8
2024-12-14,Multan,28.0,58.3,0.0,13.2
2024-11-12,Karachi,23.5,58.5,1.9,13.0
2024-03-29,Peshawar,31.9,57.9,0.0,14.5
2024-09-21,Karachi,18.6,50.4,0.0,6.1
2024-03-19,Peshawar,33.6,44.4,0.0,9.5
2024-04-08,Lahore,33.2,65.1,0.0,13.1
2024-05-22,Karachi,35.9,55.7,0.0,12.1
12/09/2024,Lahore,15.3,59.0,0.0,13.3
12/01/2024,Lahore,30.4,82.4,0.0,9.7
18/04/2024,Multan,36.5,70.4,0.0,12.4
06/12/2024,Multan,23.1,54.1,0.6,8.2
2024-01-26,Peshawar,26.3,52.0,0.0,10.0
2024-11-25,Peshawar,15.1,68.5,0.0,13.7
15/03/2024,Multan,35.3,39.8,0.0,13.6
02/04/2024,Islamabad,34.8,53.0,1.5,13.8
2024-11-16,Lahore,18.9,39.1,0.0,7.3
2024-01-23,Peshawar,24.1,62.8,0.0,11.0
2024-10-19,Karachi,18.8,59.1,0.0,10.7
2024-08-18,Lahore,15.9,29.1,0.0,8.3
2024-12-25,Peshawar,19.3,34.2,0.0,16.5
18/10/2024,Multan,18.3,78.6,0.2,9.6
30/05/2024,Multan,33.7,45.4,0.0,11.8
2024-03-25,Multan,36.1,70.9,0.0,
2024-12-03,Islamabad,14.5,45.4,0.0,13.7
06/09/2024,Karachi,20.8,30.5,0.0,13.1
16/03/2024,Karachi,37.6,76.9,0.0,8.9
20/07/2024,Peshawar,19.1,64.4,0.0,23.3
2024-11-12,Islamabad,13.5,27.6,0.0,10.7
31/10/2024,Karachi,16.7,72.5,0.0,8.0
19/08/2024,Karachi,24.1,60.8,0.0,16.9
2024-03-02,Islamabad,31.9,63.0,0.0,17.3
06/11/2024,Multan,20.1,29.7,0.0,10.9
2024-09-10,Peshawar,15.6,58.5,0.0,2.3
2024-12-17,Karachi,25.1,70.5,0.0,13.4
2024-11-03,Multan,21.0,36.1,0.0,11.7
30/03/2024,Karachi,34.9,64.4,0.0,13.5
21/11/2024,Lahore,19.8,58.9,0.0,6.7
2024-05-24,Karachi,33.5,45.3,0.0,9.0
2024-12-17,Multan,25.4,55.0,0.0,8.9
21/11/2024,Peshawar,18.5,32.5,0.0,16.8
2024-02-28,Islamabad,35.1,78.2,1.2,14.3
18/06/2024,Karachi,27.2,50.9,0.0,1.1
29/12/2024,Karachi,30.4,20.9,1.7,10.8
16/05/2024,Islamabad,29.1,44.4,0.0,14.0
2024-08-28,Lahore,17.1,45.0,0.0,5.7
09/01/2024,Peshawar,26.2,70.0,0.0,14.0
2024-12-14,Peshawar,,43.5,2.6,5.4
10/08/2024,Islamabad,15.1,50.1,0.0,6.9
05/02/2024,Lahore,33.3,55.1,0.0,13.2
2024-12-04,Islamabad,18.3,28.6,0.0,11.1
2024-06-09,Multan,,54.8,0.0,11.6
08/12/2024,Islamabad,17.0,46.3,1.3,6.5
2024-07-19,Islamabad,18.3,51.4,0.0,6.6
2024-08-29,Multan,16.1,60.8,0.0,14.1
2024-05-11,Peshawar,32.8,74.9,1.9,10.5
2024-04-07,Lahore,38.4,72.5,0.0,13.6
2024-09-30,Islamabad,12.8,87.6,0.0,14.3
2024-06-22,Multan,28.5,55.8,2.6,9.5
20/11/2024,Islamabad,13.5,85.4,0.0,15.5
2024-08-24,Islamabad,16.6,39.4,0.0,18.3
2024-01-20,Peshawar,25.6,38.0,0.0,16.6
2024-11-07,Karachi,22.0,78.5,0.0,20.2
2024-04-20,Islamabad,30.7,67.3,0.0,16.3
