ID,City,Date,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,SuperOver,WinningTeam,WonBy,Margin,method,Player_of_Match,Man_of_the_Match,Team1_Score,Team2_Score
1312057,Rawalpindi,2022-03-06,2022,24,Karachi Kings,Lahore Qalandars,Pindi Cricket Stadium,Lahore Qalandars,field,N,Lahore Qalandars,Wickets,4.0,,Player 22,Shadab Khan,213/4,203/7
1312160,Lahore,2025-03-07,2025,25,Islamabad United,Karachi Kings,"Gaddafi Stadium, Lahore",Islamabad United,bat,N,Islamabad United,Runs,83.0,,Player 3,Mohammad Rizwan,162/8,160/6
1312026,Lahore,2021-03-09,2021,27,Islamabad United,Peshawar Zalmi,"Gaddafi Stadium, Lahore",Peshawar Zalmi,field,N,Peshawar Zalmi,Runs,90.0,,Player 25,Faheem Ashraf,211/6,205/3
1312027,Rawalpindi,2021-03-10,2021,28,Lahore Qalandars,Multan Sultans,Pindi Cricket Stadium,Lahore Qalandars,field,N,Multan Sultans,Runs,73.0,,Player 33,Rovman Powell,145/2,110/9
1312117,Karachi,2024-02-26,2024,16,Karachi Kings,Quetta Gladiators,"National Stadium, Karachi",Quetta Gladiators,field,N,Quetta Gladiators,Wickets,6.0,,Player 2,Tom Kohler-Cadmore,126/3,194/4
1312132,Rawalpindi,2024-03-19,2024,Final,Karachi Kings,Lahore Qalandars,Pindi Cricket Stadium,Karachi Kings,field,N,Lahore Qalandars,Runs,30.0,,Player 14,Babar Azam,168/7,129/8
1312146,Multan,2025-02-21,2025,11,Peshawar Zalmi,Quetta Gladiators,Multan Cricket Stadium,Quetta Gladiators,field,N,Quetta Gladiators,Runs,18.0,,Player 8,Mohammad Nawaz,135/2,124/3
1312056,Rawalpindi,2022-03-05,2022,23,Quetta Gladiators,Islamabad United,Rawalpindi Cricket Stadium,Islamabad United,bat,N,Islamabad United,Runs,88.0,,Player 17,Saim Ayub,138/9,138/6
1312030,Karachi,2021-03-20,2021,Final,Lahore Qalandars,Karachi Kings,"National Stadium, Karachi",Lahore Qalandars,field,N,Lahore Qalandars,Runs,26.0,,Player 5,Aamer Jamal,157/7,146/8
1312128,Lahore,2024-03-08,2024,27,Karachi Kings,Quetta Gladiators,"Gaddafi Stadium, Lahore",Quetta Gladiators,bat,N,Karachi Kings,Wickets,5.0,,Player 38,Tom Kohler-Cadmore,175/8,200/5
1312062,Karachi,2022-03-11,2022,29,Peshawar Zalmi,Karachi Kings,"National Stadium, Karachi",Karachi Kings,field,N,Peshawar Zalmi,Runs,39.0,,Player 14,Usman Khan,154/7,133/4
1312127,Multan,2024-03-07,2024,26,Multan Sultans,Quetta Gladiators,Multan Cricket Stadium,Quetta Gladiators,field,N,Quetta Gladiators,Runs,59.0,,Player 31,Akif Javed,195/5,184/8
1312147,Karachi,2025-02-22,2025,12,Quetta Gladiators,Peshawar Zalmi,"National Stadium, Karachi",Quetta Gladiators,bat,N,Peshawar Zalmi,Runs,49.0,,Player 18,Shaheen Afridi,122/6,119/10
1312159,Lahore,2025-03-06,2025,24,Islamabad United,Quetta Gladiators,"Gaddafi Stadium, Lahore",Quetta Gladiators,field,N,Islamabad United,Wickets,2.0,,Player 14,Haris Rauf,165/9,150/9
1312080,Lahore,2023-02-23,2023,13,Lahore Qalandars,Quetta Gladiators,"Gaddafi Stadium, Lahore",Quetta Gladiators,bat,N,Quetta Gladiators,Runs,64.0,,Player 18,Xavier Bartlett,196/3,158/9
1312069,Rawalpindi,2023-02-12,2023,2,Karachi Kings,Quetta Gladiators,Rawalpindi Cricket Stadium,Quetta Gladiators,bat,N,Karachi Kings,Wickets,4.0,,Player 18,Shaheen Afridi,165/7,125/8
1312097,Lahore,2023-03-12,2023,30,Peshawar Zalmi,Quetta Gladiators,"Gaddafi Stadium, Lahore",Peshawar Zalmi,bat,N,Peshawar Zalmi,Runs,88.0,,Player 25,Zaman Khan,164/9,137/6
1312067,Lahore,2022-03-15,2022,Qualifier 1,Quetta Gladiators,Peshawar Zalmi,"Gaddafi Stadium, Lahore",Quetta Gladiators,bat,N,Quetta Gladiators,Wickets,6.0,,Player 33,Usman Khan,160/6,146/7
1312126,Karachi,2024-03-06,2024,25,Karachi Kings,Multan Sultans,"National Stadium, Karachi",Karachi Kings,field,N,Multan Sultans,Wickets,1.0,,Player 17,Sahibzada Farhan,185/3,199/10
1312112,Karachi,2024-02-21,2024,11,Islamabad United,Karachi Kings,"National Stadium, Karachi",Karachi Kings,field,N,Karachi Kings,Wickets,6.0,,Player 8,Imad Wasim,153/9,151/9
1312074,Karachi,2023-02-17,2023,7,Multan Sultans,Quetta Gladiators,"National Stadium, Karachi",Multan Sultans,field,N,Quetta Gladiators,Wickets,5.0,,Player 40,Abbas Afridi,217/6,160/4
1312157,Multan,2025-03-04,2025,22,Quetta Gladiators,Lahore Qalandars,Multan Cricket Stadium,Quetta Gladiators,bat,N,Lahore Qalandars,Wickets,4.0,,Player 5,Haris Rauf,200/10,171/6
1312000,Karachi,2021-02-11,2021,1,Islamabad United,Karachi Kings,"National Stadium, Karachi",Karachi Kings,bat,N,Karachi Kings,Wickets,7.0,,Player 21,Aamer Jamal,212/8,178/2
1312044,Rawalpindi,2022-02-21,2022,11,Lahore Qalandars,Islamabad United,Pindi Cricket Stadium,Islamabad United,field,N,Lahore Qalandars,Wickets,8.0,,Player 9,Usman Khan,124/5,122/2
1312094,Karachi,2023-03-09,2023,27,Quetta Gladiators,Karachi Kings,"National Stadium, Karachi",Quetta Gladiators,field,N,Karachi Kings,Wickets,6.0,,Player 30,Zaman Khan,161/8,145/8
1312029,Rawalpindi,2021-03-12,2021,30,Islamabad United,Karachi Kings,Rawalpindi Cricket Stadium,Islamabad United,field,N,Islamabad United,Wickets,6.0,,Player 4,Akif Javed,193/10,209/2
1312035,Rawalpindi,2022-02-12,2022,2,Lahore Qalandars,Multan Sultans,Rawalpindi Cricket Stadium,Multan Sultans,bat,N,Multan Sultans,Runs,28.0,,Player 15,James Vince,150/4,140/8
1312049,Multan,2022-02-26,2022,16,Islamabad United,Multan Sultans,Multan Cricket Stadium,Islamabad United,field,N,Multan Sultans,Wickets,8.0,,Player 16,Usman Khan,143/2,189/9
1312130,Rawalpindi,2024-03-10,2024,29,Lahore Qalandars,Peshawar Zalmi,Rawalpindi Cricket Stadium,Peshawar Zalmi,field,N,Peshawar Zalmi,Wickets,5.0,,Player 15,Zaman Khan,184/7,208/10
1312114,Rawalpindi,2024-02-23,2024,13,Islamabad United,Quetta Gladiators,Pindi Cricket Stadium,Quetta Gladiators,field,N,Islamabad United,Runs,6.0,,Player 25,Azam Khan,182/10,215/6
1312012,Rawalpindi,2021-02-23,2021,13,Lahore Qalandars,Peshawar Zalmi,Rawalpindi Cricket Stadium,Peshawar Zalmi,field,N,Lahore Qalandars,Runs,79.0,,Player 21,Sahibzada Farhan,120/9,158/10
1312022,Karachi,2021-03-05,2021,23,Quetta Gladiators,Multan Sultans,"National Stadium, Karachi",Quetta Gladiators,bat,N,Quetta Gladiators,Runs,89.0,,Player 39,Hasan Ali,151/2,132/6
1312134,Rawalpindi,2024-03-15,2024,Eliminator,Lahore Qalandars,Quetta Gladiators,Rawalpindi Cricket Stadium,Lahore Qalandars,bat,N,Lahore Qalandars,Wickets,6.0,,Player 2,Zaman Khan,215/10,156/6
1312110,Rawalpindi,2024-02-19,2024,9,Karachi Kings,Peshawar Zalmi,Pindi Cricket Stadium,Peshawar Zalmi,bat,N,Peshawar Zalmi,Runs,49.0,,Player 8,Mohammad Rizwan,145/3,171/9
1312034,Multan,2022-02-11,2022,1,Multan Sultans,Quetta Gladiators,Multan Cricket Stadium,Multan Sultans,bat,N,Quetta Gladiators,Runs,68.0,,Player 27,Sikandar Raza,129/3,184/8
1312008,Rawalpindi,2021-02-19,2021,9,Islamabad United,Peshawar Zalmi,Pindi Cricket Stadium,Islamabad United,bat,N,Islamabad United,Wickets,4.0,,Player 9,Rovman Powell,193/6,179/10
1312077,Lahore,2023-02-20,2023,10,Quetta Gladiators,Peshawar Zalmi,"Gaddafi Stadium, Lahore",Quetta Gladiators,bat,N,Peshawar Zalmi,Runs,68.0,,Player 27,Imad Wasim,171/4,147/2
1312099,Multan,2023-03-18,2023,Qualifier 2,Quetta Gladiators,Islamabad United,Multan Cricket Stadium,Quetta Gladiators,bat,N,Quetta Gladiators,Wickets,8.0,,Player 16,Faheem Ashraf,152/5,169/10
1312164,Multan,2025-03-11,2025,29,Karachi Kings,Quetta Gladiators,Multan Cricket Stadium,Quetta Gladiators,field,N,Karachi Kings,Runs,,,Player 33,Rovman Powell,160/3,175/10
1312123,Multan,2024-03-03,2024,22,Peshawar Zalmi,Karachi Kings,Multan Cricket Stadium,Peshawar Zalmi,bat,N,Peshawar Zalmi,Runs,39.0,,Player 32,Zaman Khan,219/2,142/7
1312124,Karachi,2024-03-04,2024,23,Quetta Gladiators,Lahore Qalandars,"National Stadium, Karachi",Lahore Qalandars,bat,Y,Quetta Gladiators,Wickets,3.0,,Player 21,Xavier Bartlett,216/6,206/10
1312033,Multan,2021-03-15,2021,Qualifier 1,Multan Sultans,Lahore Qalandars,Multan Cricket Stadium,Lahore Qalandars,field,N,Lahore Qalandars,Wickets,4.0,,Player 11,David Willey,168/8,197/6
1312092,Multan,2023-03-07,2023,25,Islamabad United,Quetta Gladiators,Multan Cricket Stadium,Quetta Gladiators,field,N,Islamabad United,Wickets,4.0,,Player 34,Sahibzada Farhan,219/4,175/4
1312041,Karachi,2022-02-18,2022,8,Islamabad United,Peshawar Zalmi,"National Stadium, Karachi",Islamabad United,bat,N,Peshawar Zalmi,Wickets,2.0,,Player 21,Saim Ayub,166/8,212/9
1312116,Rawalpindi,2024-02-25,2024,15,Quetta Gladiators,Karachi Kings,Pindi Cricket Stadium,Quetta Gladiators,field,N,Quetta Gladiators,Runs,,,Player 32,Imad Wasim,219/2,183/6
1312120,Multan,2024-02-29,2024,19,Karachi Kings,Multan Sultans,Multan Cricket Stadium,Karachi Kings,bat,N,Multan Sultans,Runs,27.0,,Player 14,Imad Wasim,179/2,209/9
1312101,Lahore,2023-03-15,2023,Qualifier 1,Islamabad United,Multan Sultans,"Gaddafi Stadium, Lahore",Multan Sultans,field,N,Multan Sultans,Runs,45.0,,Player 25,Xavier Bartlett,191/6,191/3
1312043,Lahore,2022-02-20,2022,10,Multan Sultans,Lahore Qalandars,"Gaddafi Stadium, Lahore",Lahore Qalandars,bat,N,Lahore Qalandars,Wickets,2.0,,Player 14,Imad Wasim,152/6,203/4
1312058,Rawalpindi,2022-03-07,2022,25,Quetta Gladiators,Peshawar Zalmi,Rawalpindi Cricket Stadium,Quetta Gladiators,field,N,Quetta Gladiators,Runs,30.0,,Player 1,Khushdil Shah,166/4,142/3
1312138,Multan,2025-02-13,2025,3,Lahore Qalandars,Islamabad United,Multan Cricket Stadium,Lahore Qalandars,bat,N,Islamabad United,Wickets,8.0,,Player 30,Hasan Ali,136/10,145/10
1312169,Multan,2025-03-15,2025,Qualifier 1,Karachi Kings,Peshawar Zalmi,Multan Cricket Stadium,Peshawar Zalmi,field,N,Karachi Kings,Runs,31.0,,Player 36,Sahibzada Farhan,174/4,214/8
1312106,Lahore,2024-02-15,2024,5,Quetta Gladiators,Peshawar Zalmi,"Gaddafi Stadium, Lahore",Peshawar Zalmi,bat,N,Quetta Gladiators,Wickets,1.0,,Player 29,Sikandar Raza,210/3,171/10
1312151,Rawalpindi,2025-02-26,2025,16,Islamabad United,Multan Sultans,Rawalpindi Cricket Stadium,Islamabad United,field,N,Multan Sultans,Wickets,8.0,,Player 36,Mohammad Nawaz,174/2,210/5
1312118,Multan,2024-02-27,2024,17,Karachi Kings,Quetta Gladiators,Multan Cricket Stadium,Karachi Kings,field,N,Quetta Gladiators,Wickets,2.0,,Player 11,Haris Rauf,138/5,120/2
1312072,Rawalpindi,2023-02-15,2023,5,Karachi Kings,Islamabad United,Pindi Cricket Stadium,Karachi Kings,bat,N,Islamabad United,Wickets,2.0,D/L,Player 8,Zaman Khan,216/9,185/7
1312156,Karachi,2025-03-03,2025,21,Lahore Qalandars,Quetta Gladiators,"National Stadium, Karachi",Lahore Qalandars,bat,N,Lahore Qalandars,Runs,40.0,,Player 11,Shadab Khan,188/7,208/4
1312011,Lahore,2021-02-22,2021,12,Quetta Gladiators,Peshawar Zalmi,"Gaddafi Stadium, Lahore",Quetta Gladiators,bat,N,Quetta Gladiators,Runs,34.0,,Player 38,Mohammad Rizwan,187/7,196/3
1312075,Multan,2023-02-18,2023,8,Peshawar Zalmi,Islamabad United,Multan Cricket Stadium,Peshawar Zalmi,field,N,Islamabad United,Wickets,3.0,,Player 25,Shadab Khan,188/10,138/8
1312096,Lahore,2023-03-11,2023,29,Lahore Qalandars,Peshawar Zalmi,"Gaddafi Stadium, Lahore",Peshawar Zalmi,bat,N,Lahore Qalandars,Wickets,1.0,,Player 25,Tom Kohler-Cadmore,153/6,183/7
1312111,Lahore,2024-02-20,2024,10,Karachi Kings,Quetta Gladiators,"Gaddafi Stadium, Lahore",Karachi Kings,field,N,Karachi Kings,Runs,50.0,,Player 35,Shaheen Afridi,204/6,147/4
1312005,Rawalpindi,2021-02-16,2021,6,Quetta Gladiators,Peshawar Zalmi,Rawalpindi Cricket Stadium,Peshawar Zalmi,bat,N,Quetta Gladiators,Wickets,8.0,,Player 32,Zaman Khan,121/2,181/3
1312129,Lahore,2024-03-09,2024,28,Karachi Kings,Quetta Gladiators,"Gaddafi Stadium, Lahore",Karachi Kings,field,N,Quetta Gladiators,Wickets,7.0,,Player 33,Iftikhar Ahmed,218/10,124/7
1312167,Rawalpindi,2025-03-18,2025,Qualifier 2,Islamabad United,Peshawar Zalmi,Rawalpindi Cricket Stadium,Islamabad United,field,N,Peshawar Zalmi,Wickets,8.0,,Player 30,Zaman Khan,139/9,160/7
1312024,Rawalpindi,2021-03-07,2021,25,Quetta Gladiators,Islamabad United,Pindi Cricket Stadium,Islamabad United,bat,N,Quetta Gladiators,Runs,41.0,,Player 23,Iftikhar Ahmed,204/2,171/5
1312087,Multan,2023-03-02,2023,20,Karachi Kings,Islamabad United,Multan Cricket Stadium,Islamabad United,bat,N,Islamabad United,Wickets,7.0,,Player 35,Sikandar Raza,198/5,202/2
1312131,Karachi,2024-03-11,2024,30,Multan Sultans,Lahore Qalandars,"National Stadium, Karachi",Lahore Qalandars,field,N,Multan Sultans,Wickets,3.0,,Player 19,Zaman Khan,121/8,148/3
1312090,Multan,2023-03-05,2023,23,Islamabad United,Quetta Gladiators,Multan Cricket Stadium,Islamabad United,field,N,Islamabad United,Wickets,8.0,,Player 24,Hasan Ali,211/3,178/10
1312055,Multan,2022-03-04,2022,22,Islamabad United,Multan Sultans,Multan Cricket Stadium,Islamabad United,bat,N,Islamabad United,Runs,73.0,,Player 23,Shadab Khan,137/7,143/3
1312078,Karachi,2023-02-21,2023,11,Karachi Kings,Multan Sultans,"National Stadium, Karachi",Karachi Kings,bat,N,Multan Sultans,Wickets,8.0,,Player 22,Usman Khan,187/4,162/9
1312016,Rawalpindi,2021-02-27,2021,17,Islamabad United,Quetta Gladiators,Rawalpindi Cricket Stadium,Quetta Gladiators,bat,N,Quetta Gladiators,Runs,86.0,,Player 19,Colin Munro,158/7,140/5
1312100,Rawalpindi,2023-03-16,2023,Eliminator,Quetta Gladiators,Peshawar Zalmi,Pindi Cricket Stadium,Peshawar Zalmi,bat,N,Quetta Gladiators,Wickets,2.0,,Player 9,Azam Khan,150/9,202/10
1312166,Karachi,2025-03-20,2025,Final,Karachi Kings,Peshawar Zalmi,"National Stadium, Karachi",Karachi Kings,bat,N,Karachi Kings,Runs,9.0,,Player 8,Khushdil Shah,145/5,196/6
1312144,Rawalpindi,2025-02-19,2025,9,Multan Sultans,Karachi Kings,Pindi Cricket Stadium,Multan Sultans,field,N,Karachi Kings,Wickets,6.0,,Player 36,Azam Khan,188/10,181/4
1312019,Rawalpindi,2021-03-02,2021,20,Multan Sultans,Lahore Qalandars,Pindi Cricket Stadium,Multan Sultans,field,N,Lahore Qalandars,Runs,37.0,,Player 16,Colin Munro,162/7,182/7
1312042,Rawalpindi,2022-02-19,2022,9,Islamabad United,Lahore Qalandars,Pindi Cricket Stadium,Islamabad United,bat,N,Islamabad United,Wickets,4.0,,Player 11,Akif Javed,121/2,138/9
1312140,Rawalpindi,2025-02-15,2025,5,Islamabad United,Peshawar Zalmi,Pindi Cricket Stadium,Peshawar Zalmi,bat,Y,Islamabad United,Wickets,3.0,,Player 4,David Willey,139/8,136/4
1312139,Karachi,2025-02-14,2025,4,Islamabad United,Lahore Qalandars,"National Stadium, Karachi",Lahore Qalandars,bat,N,Lahore Qalandars,Wickets,1.0,,Player 23,Khushdil Shah,210/8,177/9
1312154,Lahore,2025-03-01,2025,19,Lahore Qalandars,Peshawar Zalmi,"Gaddafi Stadium, Lahore",Peshawar Zalmi,bat,N,Lahore Qalandars,Runs,41.0,,Player 24,Haris Rauf,128/3,189/7
1312073,Multan,2023-02-16,2023,6,Peshawar Zalmi,Lahore Qalandars,Multan Cricket Stadium,Lahore Qalandars,bat,Y,Peshawar Zalmi,Wickets,8.0,,Player 38,Iftikhar Ahmed,142/6,212/9
1312032,Rawalpindi,2021-03-16,2021,Eliminator,Karachi Kings,Peshawar Zalmi,Rawalpindi Cricket Stadium,Peshawar Zalmi,bat,N,Karachi Kings,Runs,9.0,,Player 25,Fakhar Zaman,167/4,135/3
1312120,Multan,2024-02-29,2024,19,Karachi Kings,Multan Sultans,Multan Cricket Stadium,Karachi Kings,bat,N,Multan Sultans,Runs,27.0,,Player 14,Shadab Khan,179/2,209/9
1312006,Lahore,2021-02-17,2021,7,Multan Sultans,Peshawar Zalmi,"Gaddafi Stadium, Lahore",Peshawar Zalmi,bat,N,Multan Sultans,Runs,,,Player 31,Abbas Afridi,198/5,210/8
1312046,Karachi,2022-02-23,2022,13,Islamabad United,Lahore Qalandars,"National Stadium, Karachi",Lahore Qalandars,field,N,Lahore Qalandars,Wickets,7.0,,Player 40,Xavier Bartlett,162/5,208/9
1312039,Lahore,2022-02-16,2022,6,Karachi Kings,Peshawar Zalmi,"Gaddafi Stadium, Lahore",Karachi Kings,field,N,Peshawar Zalmi,Wickets,5.0,,Player 39,Shadab Khan,166/3,214/7
1312010,Multan,2021-02-21,2021,11,Islamabad United,Multan Sultans,Multan Cricket Stadium,Islamabad United,bat,N,Multan Sultans,Runs,10.0,,Player 37,Faheem Ashraf,197/3,170/6
1312054,Karachi,2022-03-03,2022,21,Multan Sultans,Karachi Kings,"National Stadium, Karachi",Karachi Kings,bat,N,Karachi Kings,Runs,51.0,,Player 6,Xavier Bartlett,203/7,208/10
1312122,Rawalpindi,2024-03-02,2024,21,Karachi Kings,Quetta Gladiators,Rawalpindi Cricket Stadium,Karachi Kings,field,N,Quetta Gladiators,Wickets,6.0,,Player 17,Sikandar Raza,120/5,118/4
1312082,Multan,2023-02-25,2023,15,Karachi Kings,Lahore Qalandars,Multan Cricket Stadium,Karachi Kings,field,N,Lahore Qalandars,Wickets,7.0,,Player 14,Rovman Powell,132/9,165/9
1312142,Lahore,2025-02-17,2025,7,Peshawar Zalmi,Islamabad United,"Gaddafi Stadium, Lahore",Peshawar Zalmi,field,N,Peshawar Zalmi,Runs,65.0,,Player 4,Naseem Shah,154/6,177/9
1312158,Lahore,2025-03-05,2025,23,Peshawar Zalmi,Islamabad United,"Gaddafi Stadium, Lahore",Peshawar Zalmi,field,N,Peshawar Zalmi,Runs,7.0,,Player 3,Hasan Ali,169/3,204/7
1312037,Multan,2022-02-14,2022,4,Karachi Kings,Quetta Gladiators,Multan Cricket Stadium,Quetta Gladiators,bat,N,Quetta Gladiators,Wickets,1.0,,Player 9,Khushdil Shah,134/4,194/8
1312068,Rawalpindi,2023-02-11,2023,1,Peshawar Zalmi,Quetta Gladiators,Rawalpindi Cricket Stadium,Peshawar Zalmi,bat,Y,Peshawar Zalmi,Wickets,8.0,,Player 27,Fakhar Zaman,165/5,154/9
1312135,Rawalpindi,2024-03-14,2024,Qualifier 1,Karachi Kings,Peshawar Zalmi,Pindi Cricket Stadium,Karachi Kings,field,N,Karachi Kings,Wickets,4.0,,Player 14,Aamer Jamal,211/9,175/10
1312141,Lahore,2025-02-16,2025,6,Karachi Kings,Quetta Gladiators,"Gaddafi Stadium, Lahore",Karachi Kings,bat,Y,Karachi Kings,Wickets,2.0,,Player 19,Zaman Khan,141/6,140/9
1312163,Lahore,2025-03-10,2025,28,Multan Sultans,Lahore Qalandars,"Gaddafi Stadium, Lahore",Lahore Qalandars,bat,N,Multan Sultans,Wickets,3.0,,Player 9,Shadab Khan,138/5,180/7
1312089,Rawalpindi,2023-03-04,2023,22,Peshawar Zalmi,Quetta Gladiators,Rawalpindi Cricket Stadium,Quetta Gladiators,bat,N,Quetta Gladiators,Wickets,6.0,,Player 30,Sherfane Rutherford,183/6,213/6
1312036,Lahore,2022-02-13,2022,3,Multan Sultans,Islamabad United,"Gaddafi Stadium, Lahore",Islamabad United,field,N,Multan Sultans,Runs,58.0,,Player 39,Imad Wasim,148/6,162/3
1312095,Rawalpindi,2023-03-10,2023,28,Karachi Kings,Islamabad United,Pindi Cricket Stadium,Islamabad United,bat,N,Karachi Kings,Runs,48.0,,Player 13,David Willey,220/2,211/6
1312145,Rawalpindi,2025-02-20,2025,10,Lahore Qalandars,Multan Sultans,Rawalpindi Cricket Stadium,Multan Sultans,bat,N,Lahore Qalandars,Wickets,1.0,,Player 18,Shaheen Afridi,145/10,191/9
1312038,Multan,2022-02-15,2022,5,Karachi Kings,Quetta Gladiators,Multan Cricket Stadium,Karachi Kings,field,N,Karachi Kings,Wickets,3.0,,Player 32,Shaheen Afridi,150/8,177/2
1312002,Karachi,2021-02-13,2021,3,Lahore Qalandars,Quetta Gladiators,"National Stadium, Karachi",Lahore Qalandars,field,N,Lahore Qalandars,Wickets,4.0,,Player 9,Saim Ayub,209/8,215/9
1312045,Rawalpindi,2022-02-22,2022,12,Peshawar Zalmi,Karachi Kings,Pindi Cricket Stadium,Karachi Kings,bat,N,Karachi Kings,Runs,5.0,,Player 38,Tom Kohler-Cadmore,134/8,
1312007,Rawalpindi,2021-02-18,2021,8,Lahore Qalandars,Peshawar Zalmi,Pindi Cricket Stadium,Peshawar Zalmi,field,N,Lahore Qalandars,Runs,12.0,,Player 4,Sherfane Rutherford,203/6,205/7
1312064,Rawalpindi,2022-03-20,2022,Final,Quetta Gladiators,Peshawar Zalmi,Rawalpindi Cricket Stadium,Quetta Gladiators,field,N,Quetta Gladiators,Runs,37.0,,Player 26,Babar Azam,212/4,184/3
