batter,runs,avg,strike_rate
Noman Farooq,891,29.500564,115.702528
Kamran Baig,889,17.163147,71.168506
Haris Abbasi,888,20.201146,62.272525
Rayyan Khan,883,15.222642,69.469191
Hamza Baig,880,24.524998,78.656439
Imran Sheikh,860,11.165567,124.412481
Junaid Abbasi,856,34.466384,111.736759
Zaman Baig,849,9.260106,85.650188
Tahir Iqbal,834,34.149662,116.181581
Noman Javed,832,25.299369,68.545616
Danish Abbasi,816,30.403523,122.741214
Owais Farooq,805,27.817578,132.208204
Faizan Sheikh,797,9.746151,78.056971
Talha Baig,796,5.135271,78.858917
Owais Qureshi,790,12.398789,127.996441
Rameez Raza,782,6.170581,85.819587
Waqas Raza,776,29.278594,129.915586
Tahir Qureshi,775,20.353689,92.475527
Zeeshan Chaudhry,764,30.411162,112.427464
Imran Raza,759,33.325808,122.060704
Junaid Iqbal,757,18.283603,111.948524
Asad Baig,755,32.498605,113.667158
Arslan Qureshi,753,25.078664,74.337929
Rehan Mirza,751,23.004907,50.671814
Bilal Raza,750,34.767763,139.120443
Zeeshan Farooq,747,30.933669,115.672113
Salman Awan,719,6.033772,79.000433
Faizan Khan,719,23.757589,77.387778
Asad Abbasi,712,31.849134,54.291198
Shahzaib Siddiqui,712,34.116523,127.308076
Talha Iqbal,705,22.978324,134.26652
Noman Mirza,702,21.457008,133.683325
Zeeshan Khan,701,16.079697,83.370969
Adeel Sheikh,700,23.299523,57.416287
Rehan Butt,688,31.152755,107.450717
Junaid Chaudhry,682,32.07318,106.298363
Zaman Siddiqui,680,15.242632,128.757372
Sami Javed,679,5.491665,67.215542
Talha Abbasi,676,12.267474,103.865878
Zeeshan Awan,670,34.838579,59.34601
Sami Farooq,666,9.504757,123.916568
Shahzaib Farooq,663,25.094865,62.554077
Owais Siddiqui,663,26.716423,121.387587
Bilal Javed,661,8.970179,68.391237
Usama Siddiqui,660,29.810241,79.445422
Sami Baig,656,27.22595,68.25142
Tahir Malik,654,22.921988,72.296369
Rameez Chaudhry,641,17.521649,125.755841
Rehan Iqbal,639,18.647368,77.119624
Salman Mirza,638,26.537695,108.191787
Usama Farooq,633,27.725692,123.913687
Shaheen Afridi,620,13.5,98.7
Shahzaib Awan,615,29.218337,110.502613
Imran Javed,615,25.841043,85.308067
Bilal Abbasi,613,33.801969,121.949912
Junaid Khan,611,16.449963,109.025841
Zeeshan Abbasi,603,30.042214,73.414794
Usama Javed,599,29.178162,55.12442
Rayyan Awan,584,32.587294,53.638159
Salman Malik,580,5.706905,119.926048
Talha Siddiqui,580,16.854948,99.468949
Tahir Raza,578,7.698346,112.629363
Rameez Malik,577,18.952478,87.804575
Salman Butt,561,20.35834,110.307781
Imran Malik,560,9.481284,101.035888
Waqas Malik,554,11.040478,97.320779
Rayyan Mirza,528,19.72628,54.147143
Zeeshan Iqbal,528,29.028086,70.264894
Arslan Sheikh,525,10.308628,107.573847
Adeel Iqbal,525,7.156648,69.12056
Talha Khan,516,27.272729,93.810865
Owais Awan,516,34.656638,121.604654
Waqas Abbasi,515,28.004165,69.712421
Danish Mirza,507,18.295937,67.903793
Rehan Abbasi,504,30.157667,130.744918
Hamza Siddiqui,503,18.951662,138.080218
Owais Mirza,500,9.795734,71.040524
Faizan Siddiqui,497,16.155205,135.240239
Kamran Butt,496,14.640159,57.926917
Owais Khan,496,7.075298,104.256366
Shahzaib Khan,494,24.156531,106.733535
Tahir Sheikh,482,8.975383,116.45268
Arslan Abbasi,468,5.754495,94.255532
Bilal Siddiqui,464,21.011928,90.853486
Hamza Mirza,464,15.118408,99.692842
Waqas Javed,454,13.272606,50.631633
Imran Abbasi,453,27.432419,89.26517
Arslan Malik,447,16.09323,91.447469
Kamran Qureshi,444,34.272671,82.888205
Rayyan Abbasi,443,32.704443,107.382232
Zaman Javed,442,30.069689,74.339032
Adeel Raza,431,30.590764,84.780049
Faizan Baig,393,12.298493,69.359847
Danish Khan,380,34.375893,124.777665
Rameez Farooq,372,19.257041,116.927633
Rameez Sheikh,371,17.080945,84.52697
Owais Javed,365,15.465721,124.074669
Asad Iqbal,357,14.990217,101.857868
Haris Rauf,350,9.2,105.4
Owais Malik,346,7.427355,89.486633
Danish Farooq,345,19.202329,84.472059
Haris Farooq,341,12.872319,86.411604
Arslan Butt,339,25.130633,87.136527
Haris Iqbal,338,10.615253,60.09914
Imran Baig,335,25.271986,64.758231
Haris Malik,308,24.254236,64.205066
Salman Farooq,302,16.003242,100.665725
Hamza Javed,301,16.472179,62.480191
Hamza Abbasi,283,18.250634,107.552458
Tahir Mirza,280,24.207185,54.122194
Sami Siddiqui,278,27.267296,120.010336
Kamran Javed,272,19.346441,71.714722
Faizan Awan,262,16.266317,73.30985
Danish Chaudhry,251,25.649335,104.153878
Salman Khan,233,26.280178,63.530952
Shahzaib Qureshi,232,23.556841,63.070954
Asad Farooq,223,20.245851,136.886442
Noman Qureshi,220,22.521523,58.607596
Noman Malik,217,25.840852,95.195631
Shahzaib Mirza,212,31.509073,115.199719
Haris Butt,211,24.959639,100.449986
Hamza Khan,205,11.78101,111.65559
Rehan Baig,201,5.300977,96.398284
Sami Qureshi,186,17.313137,57.213907
Kamran Raza,175,16.177105,69.396982
Noman Baig,149,17.655918,121.15628
Shahzaib Sheikh,145,9.512092,118.679991
Haris Javed,118,15.020085,132.562903
Faizan Mirza,111,30.042444,93.807399
Hamza Farooq,109,24.883842,124.382876
Danish Iqbal,107,11.188576,121.077083
Zeeshan Siddiqui,107,32.454026,96.681297
Waqas Sheikh,91,20.75909,53.674336
Sami Khan,88,31.055708,64.949397
Rameez Javed,81,23.397733,110.463516
Faizan Butt,74,27.247407,51.016668
Rehan Raza,69,7.498741,107.360562
Asad Mirza,65,30.917974,69.452771
Junaid Farooq,57,15.10183,66.450463
Rayyan Malik,48,13.67527,74.172402
Talha Mirza,31,34.632979,137.8297
Zeeshan Baig,29,17.319976,120.354192
Haris Baig,17,30.574437,111.742535
Kamran Iqbal,17,28.985237,112.895666
Usama Chaudhry,13,10.418063,114.621376
Rameez Butt,0,0.0,0.0
Owais Iqbal,0,0.0,0.0
Zeeshan Sheikh,0,0.0,0.0
Danish Awan,0,0.0,0.0
Hamza Malik,0,0.0,0.0
Shahzaib Butt,0,0.0,0.0
Adeel Malik,0,0.0,0.0
Bilal Khan,0,0.0,0.0
Faizan Qureshi,0,0.0,0.0
Rehan Awan,0,0.0,0.0
Noman Raza,0,0.0,0.0
Noman Butt,0,0.0,0.0
Waqas Baig,0,0.0,0.0
Rameez Abbasi,0,0.0,0.0
Adeel Mirza,0,0.0,0.0
Junaid Baig,0,0.0,0.0
Kamran Chaudhry,0,0.0,0.0
Salman Raza,0,0.0,0.0
Talha Chaudhry,0,0.0,0.0
Adeel Butt,0,0.0,0.0
Talha Sheikh,0,0.0,0.0
Junaid Malik,0,0.0,0.0
Imran Awan,0,0.0,0.0
Hamza Iqbal,0,0.0,0.0
Kamran Awan,0,0.0,0.0
